Order_ID,Order_Date,Customer_Location,Latitude,Longitude,Product_Category,Quantity,Unit_Price,Vendor_Name,Shipping_Mode,Shipping_Cost,Actual_Shipping_Days,Planned_Lead_Time,Delivery_Status,Risk_Score
CS-2024-0001,2024-11-23,Surabaya,-7.2575,112.7521,Industrial Parts,13,2178443,PT Trans Khatulistiwa,Truck,215000,1,1,On Time,0
CS-2024-0002,2024-12-12,Jakarta,-6.2088,106.8456,Industrial Parts,34,40127281,PT Jaya Nusantara Logistik,Air,670000,3,1,Late,38
CS-2024-0003,2024-04-29,Jakarta,-6.2088,106.8456,Industrial Parts,34,38164518,PT Khatulistiwa Trans Express,Sea,270000,3,3,On Time,1
CS-2024-0004,2024-04-22,Makassar,-5.1476,119.4327,Automotive,45,40044950,CV Bahari Persada,Air,725000,5,5,On Time,0
CS-2024-0005,2024-05-22,Jakarta,-6.2088,106.8456,Consumer Goods,21,14949461,CV Samudera Jaya,Truck,255000,1,1,On Time,0
CS-2024-0006,2024-07-02,Jakarta,-6.2088,106.8456,Medical Supplies,22,41015368,CV Bahari Persada,Air,610000,3,3,On Time,0
CS-2024-0007,2024-07-12,Surabaya,-7.2575,112.7521,Industrial Parts,1,37546819,CV Bahari Persada,Sea,105000,3,3,On Time,0
CS-2024-0008,2024-10-22,Surabaya,-7.2575,112.7521,Consumer Goods,44,47783015,PT Samudera Logistik Nusantara,Air,720000,11,3,Late,89
CS-2024-0009,2024-02-10,Medan,3.5952,98.6722,Consumer Goods,23,7278091,PT Jaya Nusantara Logistik,Truck,265000,7,7,On Time,0
CS-2024-0010,2024-03-24,Surabaya,-7.2575,112.7521,Medical Supplies,18,24341813,PT Khatulistiwa Trans Express,Sea,190000,2,2,On Time,5
CS-2024-0011,2024-11-27,Bandung,-6.9175,107.6191,Industrial Parts,20,41378089,PT Trans Khatulistiwa,Air,600000,3,3,On Time,0
CS-2024-0012,2024-08-24,Bandung,-6.9175,107.6191,Automotive,38,18615891,PT Trans Khatulistiwa,Sea,290000,3,3,On Time,0
CS-2024-0013,2024-01-29,Medan,3.5952,98.6722,Consumer Goods,31,2654210,CV Samudera Jaya,Truck,305000,7,7,On Time,0
CS-2024-0014,2024-10-17,Jakarta,-6.2088,106.8456,Medical Supplies,22,14769125,PT Trans Khatulistiwa,Truck,260000,2,2,On Time,5
CS-2024-0015,2024-08-22,Jakarta,-6.2088,106.8456,Consumer Goods,20,18275807,PT Khatulistiwa Trans Express,Air,600000,3,3,On Time,0
CS-2024-0016,2024-10-26,Jakarta,-6.2088,106.8456,Automotive,44,39660231,PT Jaya Nusantara Logistik,Truck,370000,1,1,On Time,0
CS-2024-0017,2024-09-17,Makassar,-5.1476,119.4327,Automotive,14,6600827,CV Samudera Jaya,Air,570000,4,4,On Time,0
CS-2024-0018,2024-12-14,Bandung,-6.9175,107.6191,Automotive,27,40524332,PT Samudera Logistik Nusantara,Truck,285000,18,2,Late,89
CS-2024-0019,2024-10-10,Jakarta,-6.2088,106.8456,Industrial Parts,26,46153046,PT Trans Khatulistiwa,Air,630000,3,3,On Time,0
CS-2024-0020,2024-11-24,Makassar,-5.1476,119.4327,Medical Supplies,35,7986139,CV Bahari Persada,Truck,325000,5,5,On Time,0
CS-2024-0021,2024-09-13,Surabaya,-7.2575,112.7521,Consumer Goods,71,34569940,PT Samudera Logistik Nusantara,Sea,455000,10,2,Late,87
CS-2024-0022,2024-07-10,Jakarta,-6.2088,106.8456,Consumer Goods,47,36697113,CV Samudera Jaya,Sea,335000,1,1,On Time,2
CS-2024-0023,2024-01-10,Palembang,-2.9761,104.7754,Industrial Parts,33,24859226,CV Samudera Jaya,Truck,315000,5,5,On Time,4
CS-2024-0024,2024-02-10,Palembang,-2.9761,104.7754,Industrial Parts,43,49617487,PT Jaya Nusantara Logistik,Air,715000,5,5,On Time,2
CS-2024-0025,2024-10-08,Jakarta,-6.2088,106.8456,Consumer Goods,107,18287649,CV Persada Cargo,Sea,635000,5,2,Late,59
CS-2024-0026,2024-07-23,Surabaya,-7.2575,112.7521,Medical Supplies,111,29900398,CV Persada Cargo,Truck,705000,4,1,Late,56
CS-2024-0027,2024-06-22,Banjarmasin,-3.3194,114.5908,Industrial Parts,80,39980729,CV Persada Cargo,Air,900000,7,5,Late,65
CS-2024-0028,2024-01-31,Bandung,-6.9175,107.6191,Consumer Goods,16,5023159,PT Samudera Logistik Nusantara,Truck,230000,1,1,On Time,0
CS-2024-0029,2024-12-08,Jakarta,-6.2088,106.8456,Automotive,140,14877188,CV Persada Cargo,Air,1200000,9,3,Late,61
CS-2024-0030,2024-04-07,Jayapura,-2.533,140.7181,Industrial Parts,43,7004916,PT Trans Khatulistiwa,Truck,365000,12,12,On Time,17
CS-2024-0031,2024-01-28,Jayapura,-2.533,140.7181,Industrial Parts,26,4567647,PT Jaya Nusantara Logistik,Sea,230000,12,12,On Time,11
CS-2024-0032,2024-05-07,Jakarta,-6.2088,106.8456,Consumer Goods,134,13264703,CV Persada Cargo,Truck,820000,4,1,Late,59
CS-2024-0033,2024-08-24,Denpasar,-8.6705,115.2126,Consumer Goods,7,5558994,PT Jaya Nusantara Logistik,Sea,135000,4,4,On Time,3
CS-2024-0034,2024-01-08,Jakarta,-6.2088,106.8456,Industrial Parts,46,16363159,PT Khatulistiwa Trans Express,Truck,380000,2,2,On Time,1
CS-2024-0035,2024-01-31,Surabaya,-7.2575,112.7521,Consumer Goods,47,25932455,PT Samudera Logistik Nusantara,Truck,385000,2,2,On Time,2
CS-2024-0036,2024-05-26,Makassar,-5.1476,119.4327,Automotive,16,47247464,PT Trans Khatulistiwa,Sea,180000,7,7,On Time,0
CS-2024-0037,2024-04-21,Denpasar,-8.6705,115.2126,Industrial Parts,14,39368131,PT Trans Khatulistiwa,Sea,170000,4,4,On Time,0
CS-2024-0038,2024-01-26,Jayapura,-2.533,140.7181,Automotive,28,34245717,CV Samudera Jaya,Sea,240000,11,11,On Time,18
CS-2024-0039,2024-02-11,Jayapura,-2.533,140.7181,Consumer Goods,110,5098388,CV Persada Cargo,Air,1050000,20,15,Late,71
CS-2024-0040,2024-10-18,Bandung,-6.9175,107.6191,Consumer Goods,90,39350600,CV Persada Cargo,Air,950000,8,3,Late,65
CS-2024-0041,2024-10-25,Bandung,-6.9175,107.6191,Medical Supplies,24,17999689,PT Khatulistiwa Trans Express,Sea,220000,3,3,On Time,0
CS-2024-0042,2024-07-21,Jakarta,-6.2088,106.8456,Consumer Goods,29,45576367,PT Trans Khatulistiwa,Truck,295000,2,2,On Time,0
CS-2024-0043,2024-01-05,Jakarta,-6.2088,106.8456,Automotive,148,42185291,CV Persada Cargo,Air,1240000,4,1,Late,63
CS-2024-0044,2024-05-15,Bandung,-6.9175,107.6191,Consumer Goods,45,23921586,PT Samudera Logistik Nusantara,Air,725000,2,2,On Time,2
CS-2024-0045,2024-10-05,Denpasar,-8.6705,115.2126,Medical Supplies,21,41548999,CV Samudera Jaya,Sea,205000,4,4,On Time,3
CS-2024-0046,2024-06-02,Jayapura,-2.533,140.7181,Industrial Parts,7,9512124,CV Bahari Persada,Air,535000,10,10,On Time,12
CS-2024-0047,2024-05-19,Jakarta,-6.2088,106.8456,Medical Supplies,26,41089442,PT Khatulistiwa Trans Express,Sea,230000,2,2,On Time,5
CS-2024-0048,2024-05-15,Jakarta,-6.2088,106.8456,Automotive,23,17352461,CV Samudera Jaya,Air,615000,1,1,On Time,0
CS-2024-0049,2024-01-23,Palembang,-2.9761,104.7754,Industrial Parts,37,22884600,CV Samudera Jaya,Air,685000,6,6,On Time,2
CS-2024-0050,2024-10-09,Denpasar,-8.6705,115.2126,Automotive,47,38141822,PT Samudera Logistik Nusantara,Air,735000,11,4,Late,93
CS-2024-0051,2024-01-19,Banjarmasin,-3.3194,114.5908,Medical Supplies,96,39591555,CV Persada Cargo,Air,980000,9,7,Late,59
CS-2024-0052,2024-07-05,Denpasar,-8.6705,115.2126,Industrial Parts,32,24512171,PT Khatulistiwa Trans Express,Sea,260000,5,5,On Time,0
CS-2024-0053,2024-10-13,Surabaya,-7.2575,112.7521,Automotive,26,42151888,PT Trans Khatulistiwa,Air,630000,1,1,On Time,0
CS-2024-0054,2024-07-30,Surabaya,-7.2575,112.7521,Industrial Parts,24,12536690,PT Trans Khatulistiwa,Truck,270000,2,2,On Time,0
